序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,Week
70,美國,雙子殺手,2019/10/23,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,3,477,-47.47%,"27,610","552,660","132,765,426",20200203
62,美國,雙子殺手,2019/10/23,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,5,908,-43.43%,"54,335","552,183","132,737,816",20200127
74,美國,雙子殺手,2019/10/23,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,8,"1,605",-21.36%,"114,570","551,275","132,683,481",20200120
82,美國,雙子殺手,2019/10/23,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,10,"2,041",73.41%,"159,800","549,670","132,568,911",20200113
81,美國,雙子殺手,2019/10/23,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,7,"1,177",9.49%,"120,070","547,629","132,409,111",20200106
26,美國,絕地戰警FOR LIFE,2020/1/16,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,98,"37,091",-73.99%,"8,773,439","543,236","129,956,225",20200203
18,美國,絕地戰警FOR LIFE,2020/1/16,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,101,"142,625",-21.94%,"34,507,667","506,147","121,183,306",20200127
41,南韓,白頭山：半島浩劫,2019/12/24,車庫娛樂股份有限公司,"CJ ENM CO., LTD.",38,"2,186",-84.56%,"521,736","497,817","115,633,055",20200203
35,南韓,白頭山：半島浩劫,2019/12/24,車庫娛樂股份有限公司,"CJ ENM CO., LTD.",51,"14,157",-51.43%,"3,407,416","495,633","115,111,719",20200127
36,南韓,白頭山：半島浩劫,2019/12/24,車庫娛樂股份有限公司,"CJ ENM CO., LTD.",69,"29,145",-51.51%,"6,867,300","481,476","111,704,303",20200120
38,南韓,白頭山：半島浩劫,2019/12/24,車庫娛樂股份有限公司,"CJ ENM CO., LTD.",71,"60,109",-27.60%,"14,030,416","452,331","104,837,003",20200113
32,南韓,白頭山：半島浩劫,2019/12/24,車庫娛樂股份有限公司,"CJ ENM CO., LTD.",71,"83,021",-51.23%,"19,383,972","392,222","90,806,587",20200106
66,美國,魔鬼終結者：黑暗宿命,2019/11/7,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",9,921,-64.40%,"74,075","379,296","88,102,704",20200203
59,美國,魔鬼終結者：黑暗宿命,2019/11/7,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",10,"2,587",64.25%,"216,495","378,375","88,028,629",20200127
66,美國,魔鬼終結者：黑暗宿命,2019/11/7,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",8,"1,575",233.69%,"146,665","375,788","87,812,134",20200120
